,algo,iter,groupSize,intCosSim,intCosSimBin,topintRatio,intJaccard
0,randomOnce,1,20,0.33515635714023956,0.22987214106707118,0.3,0.5649122807017544
1,randomOnce,1,20,0.35886633599909823,0.25463235474915025,0.3,0.5333333333333333
2,randomOnce,1,20,0.2988692738054872,0.26119735185889137,0.45,0.5991228070175438
3,randomOnce,1,20,0.35092875313642896,0.2469119774117019,0.3,0.5052631578947369
4,randomOnce,1,20,0.2581214354157682,0.22113131970706085,0.35,0.6236842105263157
5,randomPerDay,1,20,0.3682695017162384,0.24325807173959177,0.25,0.5043859649122807
6,randomPerDay,1,20,0.24555819684147626,0.19849479180486035,0.3,0.5956140350877193
7,randomPerDay,1,20,0.30450250598656436,0.2167302860087859,0.3,0.5921052631578947
8,randomPerDay,1,20,0.313839149955252,0.2674428987304403,0.35,0.5842105263157895
9,randomPerDay,1,20,0.3584088868645676,0.2641133878603732,0.3,0.5394736842105263
10,randomPerDay,1,20,0.31224058877908667,0.27343081708082895,0.4,0.5482456140350878
11,randomPerDay,1,20,0.4290305613345616,0.3204205414365899,0.4,0.6096491228070176
12,randomPerDay,1,20,0.2971320567555369,0.2077684533581645,0.25,0.5280701754385965
13,randomPerDay,1,20,0.36167765527228013,0.29895525307540755,0.35,0.6333333333333333
14,randomPerDay,1,20,0.28441714306569954,0.18008369196551297,0.2,0.5228070175438596
15,randomPerDay,1,20,0.3340078073652207,0.25005370066045013,0.35,0.5350877192982456
16,randomPerDay,1,20,0.3042752409221541,0.22133740628813092,0.3,0.5745614035087719
17,randomPerDay,1,20,0.3072495624680179,0.24701383636920446,0.3,0.6271929824561403
18,randomPerDay,1,20,0.27399929986049215,0.2221486689589991,0.25,0.5368421052631579
19,randomPerDay,1,20,0.40480070152002096,0.2918424502347545,0.3,0.5578947368421052
20,clusterOnceKmeans,1,14,0.6810284069610906,0.8855271977687166,1.0,0.7032967032967034
21,clusterOnceKmeans,1,27,0.6873578367882074,0.9620284252201762,1.0,0.6904083570750238
22,clusterOnceKmeans,1,15,0.6955954235935232,0.8998219442664065,1.0,0.780952380952381
23,clusterOnceKmeans,1,21,0.7267536157307785,0.9477293001214647,1.0,0.7761904761904762
24,clusterOnceKmeans,1,23,0.42889995942268005,0.45435323703272745,0.5217391304347826,0.6047430830039525
25,randomOnce,2,20,0.25856005264533716,0.2137960047040133,0.35,0.6052631578947368
26,randomOnce,2,20,0.4235120825081254,0.32745817969973195,0.35,0.5114035087719299
27,randomOnce,2,20,0.4395565356106606,0.39390987423677293,0.5,0.5631578947368421
28,randomOnce,2,20,0.28135562351236443,0.23692791767037522,0.35,0.5982456140350877
29,randomOnce,2,20,0.32017050081299353,0.2905488816713486,0.45,0.5780701754385965
30,randomPerDay,2,20,0.4275792049330975,0.3159583491214741,0.4,0.5298245614035088
31,randomPerDay,2,20,0.27735503201031736,0.2703274686742303,0.3,0.6192982456140351
32,randomPerDay,2,20,0.2878455102799425,0.24010856021293195,0.35,0.5649122807017544
33,randomPerDay,2,20,0.39834050729020276,0.35878001887450817,0.5,0.5728070175438597
34,randomPerDay,2,20,0.34514461014789044,0.28862566940792483,0.45,0.5675438596491228
35,randomPerDay,2,20,0.39669006422637093,0.3185324855867451,0.35,0.49736842105263157
36,randomPerDay,2,20,0.34704747761942256,0.29090538520203313,0.5,0.5885964912280701
37,randomPerDay,2,20,0.3753065444876449,0.3169898401149836,0.4,0.5947368421052631
38,randomPerDay,2,20,0.29485445427506707,0.263501441981701,0.35,0.6149122807017544
39,randomPerDay,2,20,0.34887157494458376,0.3069544966052084,0.4,0.5482456140350878
40,randomPerDay,2,20,0.3365466765958247,0.2522698728185518,0.3,0.5491228070175438
41,randomPerDay,2,20,0.3220359775679809,0.30533803172916857,0.45,0.5596491228070175
42,randomPerDay,2,20,0.41586444492156155,0.35238468618571606,0.5,0.543859649122807
43,randomPerDay,2,20,0.36837074973694733,0.3096759296302335,0.4,0.6035087719298246
44,randomPerDay,2,20,0.29879204165359213,0.25685185780793546,0.35,0.587719298245614
45,clusterOnceKmeans,2,17,0.8015863374637621,0.9634701843171471,1.0,0.8529411764705882
46,clusterOnceKmeans,2,40,0.7191362142642342,0.9425793186386423,1.0,0.757051282051282
47,clusterOnceKmeans,2,17,0.7355463027062867,0.9420184926678574,1.0,0.7892156862745098
48,clusterOnceKmeans,2,9,0.7139167031751552,0.8959118606858862,1.0,0.7685185185185185
49,clusterOnceKmeans,2,17,0.6096160647937987,0.504311735694589,0.6470588235294118,0.553921568627451
50,randomOnce,3,20,0.33273487726518547,0.23082697898484492,0.3,0.5482456140350878
51,randomOnce,3,20,0.33967478475886914,0.23989074344299435,0.3,0.5631578947368421
52,randomOnce,3,20,0.4604630830563238,0.30171801951178834,0.25,0.5622807017543859
53,randomOnce,3,20,0.2995304379568068,0.22055162108633944,0.35,0.5728070175438597
54,randomOnce,3,20,0.2391729021550404,0.22041062347243778,0.3,0.5903508771929824
55,randomPerDay,3,20,0.3267218944771559,0.23809403399857926,0.25,0.5456140350877193
56,randomPerDay,3,20,0.2848771866115079,0.18620247159807524,0.25,0.5701754385964912
57,randomPerDay,3,20,0.3005553791238263,0.2336083382245653,0.35,0.5342105263157895
58,randomPerDay,3,20,0.3370508706298536,0.2046739899997247,0.3,0.5719298245614035
59,randomPerDay,3,20,0.3986273041440114,0.3778745756782431,0.45,0.5728070175438597
